"연령별","체류자격별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"3세","방문동거","여자","","62","95","121","176","208","219",
"3세","거주","계","","53","54","70","62","52","55",
"3세","거주","남자","","21","29","36","28","22","33",
"3세","거주","여자","","32","25","34","34","30","22",
"3세","동반","계","","236","254","239","225","226","285",
"3세","동반","남자","","114","129","132","110","105","132",
"3세","동반","여자","","122","125","107","115","121","153",
"3세","재외동포","계","","38","22","14","22","21","19",
"3세","재외동포","남자","","15","12","7","8","13","13",
"3세","재외동포","여자","","23","10","7","14","8","6",
"3세","영주","계","","8","24","40","46","51","56",
"3세","영주","남자","","3","14","17","16","22","37",
"3세","영주","여자","","5","10","23","30","29","19",
"3세","기타","계","","2","1","3","2","2","2",
"3세","기타","남자","","1","1","2","2","1","1",
"3세","기타","여자","","1","0","1","0","1","1",
"3세","관광상륙","계","","","","1","","","",
"3세","관광상륙","남자","","","","0","","","",
"3세","관광상륙","여자","","","","1","","","",
"4세","총계","계","","1405","1482","1552","1602","1571","1586",
"4세","총계","남자","","717","776","766","798","777","790",
"4세","총계","여자","","688","706","786","804","794","796",
"4세","공무","계","","6","8","11","7","6","14",
"4세","공무","남자","","2","3","4","5","3","8",
"4세","공무","여자","","4","5","7","2","3","6",
"4세","사증면제","계","","42","53","63","60","106","112",
"4세","사증면제","남자","","20","18","36","31","53","59",
"4세","사증면제","여자","","22","35","27","29","53","53",
"4세","관광통과","계","","430","434","430","321","332","357",
"4세","관광통과","남자","","210","229","198","163","159","183",
"4세","관광통과","여자","","220","205","232","158","173","174",
"4세","단기방문","계","","550","571","639","659","513","416",
"4세","단기방문","남자","","270","301","322","309","257","193",
"4세","단기방문","여자","","280","270","317","350","256","223",
"4세","예술흥행","계","","","","1","","","",
"4세","예술흥행","남자","","","","0","","","",
"4세","예술흥행","여자","","","","1","","","",
"4세","방문동거","계","","86","138","161","270","349","388",
"4세","방문동거","남자","","43","77","79","138","170","201",
"4세","방문동거","여자","","43","61","82","132","179","187",
"4세","거주","계","","38","40","43","43","42","37",
"4세","거주","남자","","18","22","17","20","21","16",
"4세","거주","여자","","20","18","26","23","21","21",
"4세","동반","계","","220","206","170","187","175","211",
"4세","동반","남자","","132","109","91","105","86","105",
"4세","동반","여자","","88","97","79","82","89","106",
"4세","재외동포","계","","31","23","16","27","24","9",
"4세","재외동포","남자","","21","11","12","11","11","4",
"4세","재외동포","여자","","10","12","4","16","13","5",
"4세","영주","계","","2","7","16","25","22","40",
"4세","영주","남자","","1","5","6","16","15","20",
"4세","영주","여자","","1","2","10","9","7","20",
"4세","기타","계","","","1","2","1","2","2",
"4세","기타","남자","","","0","1","0","2","1",
"4세","기타","여자","","","1","1","1","0","1",
"4세","방문취업","계","","","1","","","","",
"4세","방문취업","남자","","","1","","","","",
"4세","방문취업","여자","","","0","","","","",
"4세","관광상륙","계","","","","","2","","",
"4세","관광상륙","남자","","","","","0","","",
"4세","관광상륙","여자","","","","","2","","",
"5세","총계","계","","1181","1240","1219","1330","1335","1503",
"5세","총계","남자","","615","621","612","667","664","767",
"5세","총계","여자","","566","619","607","663","671","736",
"5세","공무","계","","9","9","7","12","6","14",
"5세","공무","남자","","1","5","3","7","3","11",
"5세","공무","여자","","8","4","4","5","3","3",
"5세","사증면제","계","","40","50","49","57","87","113",
"5세","사증면제","남자","","24","28","23","28","42","57",
"5세","사증면제","여자","","16","22","26","29","45","56",
"5세","관광통과","계","","377","381","367","284","269","316",
"5세","관광통과","남자","","183","198","198","126","131","168",
"5세","관광통과","여자","","194","183","169","158","138","148",
"5세","단기방문","계","","431","455","504","538","412","417",
"5세","단기방문","남자","","229","213","236","296","204","208",
"5세","단기방문","여자","","202","242","268","242","208","209",
"5세","일반연수","계","","","","","1","","",
"5세","일반연수","남자","","","","","1","","",
"5세","일반연수","여자","","","","","0","","",
"5세","특정활동","계","","","1","","","","",
"5세","특정활동","남자","","","0","","","","",
"5세","특정활동","여자","","","1","","","","",
"5세","방문동거","계","","71","97","89","234","316","371",
"5세","방문동거","남자","","40","44","43","114","169","184",
"5세","방문동거","여자","","31","53","46","120","147","187",
"5세","거주","계","","39","38","35","43","45","36",
"5세","거주","남자","","22","21","18","22","21","19",
"5세","거주","여자","","17","17","17","21","24","17",
"5세","동반","계","","187","186","134","137","146","196",
"5세","동반","남자","","103","103","75","63","70","103",
"5세","동반","여자","","84","83","59","74","76","93",
"5세","재외동포","계","","19","19","27","13","29","21",
"5세","재외동포","남자","","10","8","13","5","10","10",
"5세","재외동포","여자","","9","11","14","8","19","11",
"5세","영주","계","","8","3","6","9","24","18",
"5세","영주","남자","","3","0","3","4","13","6",
"5세","영주","여자","","5","3","3","5","11","12",
"5세","기타","계","","","1","1","2","1","1",
"5세","기타","남자","","","1","0","1","1","1",
"5세","기타","여자","","","0","1","1","0","0",
"6세","총계","계","","838","1048","981","1161","1041","1180",
"6세","총계","남자","","420","511","516","569","547","595",
"6세","총계","여자","","418","537","465","592","494","585",
"6세","공무","계","","6","6","11","7","5","12",
"6세","공무","남자","","2","3","5","5","1","7",
"6세","공무","여자","","4","3","6","2","4","5",
"6세","사증면제","계","","33","53","39","66","69","76",
"6세","사증면제","남자","","18","30","21","39","35","31",
"6세","사증면제","여자","","15","23","18","27","34","45",
"6세","관광통과","계","","349","374","320","296","292","293",
"6세","관광통과","남자","","173","179","178","138","140","150",
"6세","관광통과","여자","","176","195","142","158","152","143",
"6세","단기방문","계","","256","378","371","409","306","349",
"6세","단기방문","남자","","121","180","183","208","175","176",
"6세","단기방문","여자","","135","198","188","201","131","173",
"6세","일반연수","계","","1","1","","","","",
"6세","일반연수","남자","","1","0","","","","",
"6세","일반연수","여자","","0","1","","","","",
"6세","방문동거","계","","26","72","82","177","219","243",
"6세","방문동거","남자","","15","40","40","80","112","118",
"6세","방문동거","여자","","11","32","42","97","107","125",
"6세","거주","계","","13","23","28","36","19","28",
"6세","거주","남자","","6","10","12","14","8","17",
"6세","거주","여자","","7","13","16","22","11","11",
"6세","동반","계","","137","127","106","128","106","131",
"6세","동반","남자","","75","62","63","64","65","68",
"6세","동반","여자","","62","65","43","64","41","63",
"6세","재외동포","계","","16","13","18","28","20","26",
"6세","재외동포","남자","","8","6","9","14","6","15",
"6세","재외동포","여자","","8","7","9","14","14","11",
"6세","영주","계","","1","","5","11","4","22",
"6세","영주","남자","","1","","4","6","4","13",
"6세","영주","여자","","0","","1","5","0","9",
"6세","기타","계","","","","","2","1","",
"6세","기타","남자","","","","","1","1","",
"6세","기타","여자","","","","","1","0","",
"6세","방문취업","계","","","1","","","","",
"6세","방문취업","남자","","","1","","","","",
"6세","방문취업","여자","","","0","","","","",
"6세","관광상륙","계","","","","1","1","","",
"6세","관광상륙","남자","","","","1","0","","",
"6세","관광상륙","여자","","","","0","1","","",
"7세","총계","계","","678","781","816","843","788","885",
"7세","총계","남자","","351","380","404","455","401","440",
"7세","총계","여자","","327","401","412","388","387","445",
"7세","공무","계","","11","6","10","11","8","9",
"7세","공무","남자","","6","2","6","6","6","3",
"7세","공무","여자","","5","4","4","5","2","6",
"7세","사증면제","계","","27","34","26","43","69","67",
"7세","사증면제","남자","","16","10","15","19","34","34",
"7세","사증면제","여자","","11","24","11","24","35","33",
"7세","관광통과","계","","311","322","296","221","205","254",
"7세","관광통과","남자","","155","163","144","119","107","125",
"7세","관광통과","여자","","156","159","152","102","98","129",
"7세","단기방문","계","","159","256","305","316","236","221",
"7세","단기방문","남자","","85","127","143","177","112","106",
"7세","단기방문","여자","","74","129","162","139","124","115",
"7세","일반연수","계","","","1","","","2","",
"7세","일반연수","남자","","","1","","","2","",
"7세","일반연수","여자","","","0","","","0","",
"7세","예술흥행","계","","","","","","","1",
"7세","예술흥행","남자","","","","","","","1",
"7세","예술흥행","여자","","","","","","","0",
"7세","특정활동","계","","","1","","","","",
"7세","특정활동","남자","","","1","","","","",
"7세","특정활동","여자","","","0","","","","",
"7세","방문동거","계","","19","21","53","110","139","168",
"7세","방문동거","남자","","12","9","25","51","77","83",
"7세","방문동거","여자","","7","12","28","59","62","85",
"7세","거주","계","","14","10","10","17","13","9",
"7세","거주","남자","","6","6","8","10","7","3",
"7세","거주","여자","","8","4","2","7","6","6",
"7세","동반","계","","125","119","106","101","92","133",
"7세","동반","남자","","65","55","57","61","43","72",
"7세","동반","여자","","60","64","49","40","49","61",
"7세","재외동포","계","","8","11","8","17","18","15",
"7세","재외동포","남자","","5","6","5","8","9","9",
"7세","재외동포","여자","","3","5","3","9","9","6",
"7세","영주","계","","3","","1","5","3","8",
"7세","영주","남자","","0","","1","4","2","4",
"7세","영주","여자","","3","","0","1","1","4",
"7세","기타","계","","1","","1","2","3","",
"7세","기타","남자","","1","","0","0","2","",
"7세","기타","여자","","0","","1","2","1","",
"8세","총계","계","","634","664","698","820","735","861",
"8세","총계","남자","","329","338","343","434","384","398",
"8세","총계","여자","","305","326","355","386","351","463",
"8세","공무","계","","12","7","3","6","11","14",
"8세","공무","남자","","5","4","2","3","8","7",
"8세","공무","여자","","7","3","1","3","3","7",
"8세","사증면제","계","","25","29","36","39","52","73",
"8세","사증면제","남자","","11","14","20","17","28","36",
"8세","사증면제","여자","","14","15","16","22","24","37",
"8세","관광통과","계","","270","291","248","223","170","217",
"8세","관광통과","남자","","142","144","120","115","86","99",
"8세","관광통과","여자","","128","147","128","108","84","118",
"8세","단기방문","계","","187","201","277","312","265","254",
"8세","단기방문","남자","","87","96","128","167","134","119",
"8세","단기방문","여자","","100","105","149","145","131","135",
"8세","일반연수","계","","","1","","1","1","1",
"8세","일반연수","남자","","","1","","1","0","0",
"8세","일반연수","여자","","","0","","0","1","1",
"8세","예술흥행","계","","","1","2","","1","",
"8세","예술흥행","남자","","","0","2","","1","",
"8세","예술흥행","여자","","","1","0","","0","",
"8세","방문동거","계","","13","27","25","111","134","165",
"8세","방문동거","남자","","8","16","12","60","67","74",
"8세","방문동거","여자","","5","11","13","51","67","91",
"8세","거주","계","","9","11","11","16","9","17",
"8세","거주","남자","","4","4","5","9","4","6",
"8세","거주","여자","","5","7","6","7","5","11",
"8세","동반","계","","107","91","78","94","80","95",
"8세","동반","남자","","65","56","44","50","48","48",
"8세","동반","여자","","42","35","34","44","32","47",
"8세","재외동포","계","","10","5","13","13","10","23",
"8세","재외동포","남자","","6","3","8","9","7","8",
"8세","재외동포","여자","","4","2","5","4","3","15",
"8세","영주","계","","1","","3","4","2","1",
"8세","영주","남자","","1","","1","2","1","1",
"8세","영주","여자","","0","","2","2","1","0",
"8세","기타","계","","","","1","1","","1",
"8세","기타","남자","","","","1","1","","0",
"8세","기타","여자","","","","0","0","","1",
"8세","관광상륙","계","","","","1","","","",
"8세","관광상륙","남자","","","","0","","","",
"8세","관광상륙","여자","","","","1","","","",
"9세","총계","계","","591","669","639","759","800","796",
"9세","총계","남자","","303","311","321","365","397","408",
"9세","총계","여자","","288","358","318","394","403","388",
"9세","공무","계","","9","7","7","13","8","17",
"9세","공무","남자","","3","2","4","5","5","12",
"9세","공무","여자","","6","5","3","8","3","5",
"9세","사증면제","계","","22","32","24","28","55","58",
"9세","사증면제","남자","","11","11","12","19","17","35",
"9세","사증면제","여자","","11","21","12","9","38","23",
"9세","관광통과","계","","267","288","217","197","211","206",
"9세","관광통과","남자","","138","132","109","89","104","93",
"9세","관광통과","여자","","129","156","108","108","107","113",
"9세","단기방문","계","","173","196","259","313","305","236",
"9세","단기방문","남자","","93","96","117","150","161","115",
"9세","단기방문","여자","","80","100","142","163","144","121",
"9세","일반연수","계","","2","1","3","","1","3",
"9세","일반연수","남자","","2","0","2","","0","1",
"9세","일반연수","여자","","0","1","1","","1","2",
"9세","예술흥행","계","","2","","","1","1","4",
"9세","예술흥행","남자","","1","","","1","0","1",
"9세","예술흥행","여자","","1","","","0","1","3",
"9세","방문동거","계","","11","22","29","92","134","156",
"9세","방문동거","남자","","9","11","21","39","68","93",
"9세","방문동거","여자","","2","11","8","53","66","63",
"9세","거주","계","","11","18","13","9","10","17",
"9세","거주","남자","","7","9","8","6","4","6",
"9세","거주","여자","","4","9","5","3","6","11",
"9세","동반","계","","84","93","70","84","58","85",
"9세","동반","남자","","36","43","36","45","30","42",
"9세","동반","여자","","48","50","34","39","28","43",
"9세","재외동포","계","","4","12","12","21","12","13",
"9세","재외동포","남자","","1","7","8","10","7","10",
"9세","재외동포","여자","","3","5","4","11","5","3",
"9세","영주","계","","4","","3","","3","1",
"9세","영주","남자","","1","","3","","0","0",
"9세","영주","여자","","3","","0","","3","1",
"9세","결혼이민","계","","1","","","","","",
"9세","결혼이민","남자","","0","","","","","",
"9세","결혼이민","여자","","1","","","","","",
"9세","기타","계","","1","","2","1","2","",
"9세","기타","남자","","1","","1","1","1","",
"9세","기타","여자","","0","","1","0","1","",
"10세","총계","계","","520","545","660","705","731","805",
"10세","총계","남자","","251","274","325","342","380","416",
"10세","총계","여자","","269","271","335","363","351","389",
"10세","공무","계","","5","7","5","14","7","12",
"10세","공무","남자","","2","2","3","8","3","6",
"10세","공무","여자","","3","5","2","6","4","6",
"10세","사증면제","계","","17","31","25","36","58","46",
"10세","사증면제","남자","","9","17","12","20","28","25",
"10세","사증면제","여자","","8","14","13","16","30","21",
"10세","관광통과","계","","238","219","238","172","185","206",
"10세","관광통과","남자","","123","116","110","81","96","100",
"10세","관광통과","여자","","115","103","128","91","89","106",
"10세","단기방문","계","","127","178","270","285","279","252",
"10세","단기방문","남자","","53","90","137","132","146","125",
"10세","단기방문","여자","","74","88","133","153","133","127",
"10세","일반연수","계","","5","1","1","2","","1",
"10세","일반연수","남자","","1","1","0","0","","1",
"10세","일반연수","여자","","4","0","1","2","","0",
"10세","무역경영","계","","","","","","1","",
"10세","무역경영","남자","","","","","","0","",
"10세","무역경영","여자","","","","","","1","",
"10세","예술흥행","계","","1","5","1","4","5","4",
"10세","예술흥행","남자","","1","2","1","2","2","3",
"10세","예술흥행","여자","","0","3","0","2","3","1",
"10세","방문동거","계","","11","16","28","88","116","161",
"10세","방문동거","남자","","3","8","17","43","60","92",
"10세","방문동거","여자","","8","8","11","45","56","69",
"10세","거주","계","","7","9","22","20","6","19",
"10세","거주","남자","","2","7","12","12","3","9",
"10세","거주","여자","","5","2","10","8","3","10",
"10세","동반","계","","87","73","58","63","51","78",
"10세","동반","남자","","46","29","28","34","29","46",
"10세","동반","여자","","41","44","30","29","22","32",
"10세","재외동포","계","","17","5","9","19","23","20",
"10세","재외동포","남자","","8","1","4","9","13","5",
"10세","재외동포","여자","","9","4","5","10","10","15",
"10세","영주","계","","5","","2","1","","3",
"10세","영주","남자","","3","","0","1","","2",
"10세","영주","여자","","2","","2","0","","1",
"10세","기타","계","","","1","1","1","","3",
"10세","기타","남자","","","1","1","0","","2",
"10세","기타","여자","","","0","0","1","","1",
"11세","총계","계","","484","535","563","589","593","680",
