"행정구역별","각세별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"전국","34세","시군구간전입","","52704","59576","59647","58032","53549","50747",
"전국","34세","시군구간전출","","52704","59576","59647","58032","53549","50747",
"전국","34세","시도간전입","","56890","64368","64900","61870","57324","52785",
"전국","34세","시도간전출","","56890","64368","64900","61870","57324","52785",
"전국","35세","총전입","","156422","165548","182216","174359","170848","165236",
"전국","35세","총전출","","156422","165548","182216","174359","170848","165236",
"전국","35세","순이동","","0","0","0","0","0","0",
"전국","35세","시군구간전입","","48094","50560","55790","53600","52963","51945",
"전국","35세","시군구간전출","","48094","50560","55790","53600","52963","51945",
"전국","35세","시도간전입","","51223","54629","59784","57684","56649","53588",
"전국","35세","시도간전출","","51223","54629","59784","57684","56649","53588",
"전국","36세","총전입","","146972","152073","157118","163559","159594","165490",
"전국","36세","총전출","","146972","152073","157118","163559","159594","165490",
"전국","36세","순이동","","0","0","0","0","0","0",
"전국","36세","시군구간전입","","44279","45543","46814","49653","48589","50881",
"전국","36세","시군구간전출","","44279","45543","46814","49653","48589","50881",
"전국","36세","시도간전입","","47768","49549","51350","53164","52921","53443",
"전국","36세","시도간전출","","47768","49549","51350","53164","52921","53443",
"전국","37세","총전입","","138009","142593","144439","141382","150285","155417",
"전국","37세","총전출","","138009","142593","144439","141382","150285","155417",
"전국","37세","순이동","","0","0","0","0","0","0",
"전국","37세","시군구간전입","","40734","42327","42569","42282","45430","47449",
"전국","37세","시군구간전출","","40734","42327","42569","42282","45430","47449",
"전국","37세","시도간전입","","44498","46128","47333","45987","49015","49544",
"전국","37세","시도간전출","","44498","46128","47333","45987","49015","49544",
"전국","38세","총전입","","138000","135166","134908","128998","129240","144936",
"전국","38세","총전출","","138000","135166","134908","128998","129240","144936",
"전국","38세","순이동","","0","0","0","0","0","0",
"전국","38세","시군구간전입","","40928","39429","39696","38265","38754","43829",
"전국","38세","시군구간전출","","40928","39429","39696","38265","38754","43829",
"전국","38세","시도간전입","","42954","43138","43397","41416","41596","45894",
"전국","38세","시도간전출","","42954","43138","43397","41416","41596","45894",
"전국","39세","총전입","","141299","137162","129791","121666","119576","126103",
"전국","39세","총전출","","141299","137162","129791","121666","119576","126103",
"전국","39세","순이동","","0","0","0","0","0","0",
"전국","39세","시군구간전입","","41594","40088","37708","35917","35324","37525",
"전국","39세","시군구간전출","","41594","40088","37708","35917","35324","37525",
"전국","39세","시도간전입","","43279","43058","41080","38533","38545","39688",
"전국","39세","시도간전출","","43279","43058","41080","38533","38545","39688",
"전국","40세","총전입","","137217","139944","132004","116971","112968","116173",
"전국","40세","총전출","","137217","139944","132004","116971","112968","116173",
"전국","40세","순이동","","0","0","0","0","0","0",
"전국","40세","시군구간전입","","39975","40589","37996","33835","32926","34373",
"전국","40세","시군구간전출","","39975","40589","37996","33835","32926","34373",
"전국","40세","시도간전입","","41440","43061","41102","36845","35898","35828",
"전국","40세","시도간전출","","41440","43061","41102","36845","35898","35828",
"전국","41세","총전입","","133719","135419","136039","119179","109141","110057",
"전국","41세","총전출","","133719","135419","136039","119179","109141","110057",
"전국","41세","순이동","","0","0","0","0","0","0",
"전국","41세","시군구간전입","","38907","38523","38382","34369","32037","32044",
"전국","41세","시군구간전출","","38907","38523","38382","34369","32037","32044",
"전국","41세","시도간전입","","39743","40953","41625","36463","33818","34098",
"전국","41세","시도간전출","","39743","40953","41625","36463","33818","34098",
"전국","42세","총전입","","133608","133255","132428","122671","110794","106646",
"전국","42세","총전출","","133608","133255","132428","122671","110794","106646",
"전국","42세","순이동","","0","0","0","0","0","0",
"전국","42세","시군구간전입","","38397","37999","37322","35250","32073","30702",
"전국","42세","시군구간전출","","38397","37999","37322","35250","32073","30702",
"전국","42세","시도간전입","","38981","39695","39927","36742","33996","32269",
"전국","42세","시도간전출","","38981","39695","39927","36742","33996","32269",
"전국","43세","총전입","","125694","132814","131395","121386","115833","109473",
"전국","43세","총전출","","125694","132814","131395","121386","115833","109473",
"전국","43세","순이동","","0","0","0","0","0","0",
"전국","43세","시군구간전입","","35956","37419","37063","34316","32985","31507",
"전국","43세","시군구간전출","","35956","37419","37063","34316","32985","31507",
"전국","43세","시도간전입","","36269","39306","39187","36155","34980","32655",
"전국","43세","시도간전출","","36269","39306","39187","36155","34980","32655",
"전국","44세","총전입","","124483","125381","132024","118633","114155","113693",
"전국","44세","총전출","","124483","125381","132024","118633","114155","113693",
"전국","44세","순이동","","0","0","0","0","0","0",
"전국","44세","시군구간전입","","35570","35315","37223","33579","32460","32571",
"전국","44세","시군구간전출","","35570","35315","37223","33579","32460","32571",
"전국","44세","시도간전입","","35155","36196","38487","35184","34286","33534",
"전국","44세","시도간전출","","35155","36196","38487","35184","34286","33534",
"전국","45세","총전입","","114382","125374","124802","120920","112751","111319",
"전국","45세","총전출","","114382","125374","124802","120920","112751","111319",
"전국","45세","순이동","","0","0","0","0","0","0",
"전국","45세","시군구간전입","","32751","35273","35048","33790","32119","31731",
"전국","45세","시군구간전출","","32751","35273","35048","33790","32119","31731",
"전국","45세","시도간전입","","32066","35618","35946","35324","33667","32584",
"전국","45세","시도간전출","","32066","35618","35946","35324","33667","32584",
"전국","46세","총전입","","106104","115331","125198","114299","113810","111746",
"전국","46세","총전출","","106104","115331","125198","114299","113810","111746",
"전국","46세","순이동","","0","0","0","0","0","0",
"전국","46세","시군구간전입","","30323","32648","34903","32259","32256","31818",
"전국","46세","시군구간전출","","30323","32648","34903","32259","32256","31818",
"전국","46세","시도간전입","","29695","32730","35548","32888","33457","32582",
"전국","46세","시도간전출","","29695","32730","35548","32888","33457","32582",
"전국","47세","총전입","","104356","107754","115821","115647","109243","113246",
"전국","47세","총전출","","104356","107754","115821","115647","109243","113246",
"전국","47세","순이동","","0","0","0","0","0","0",
"전국","47세","시군구간전입","","29935","30068","32668","32500","31188","32340",
"전국","47세","시군구간전출","","29935","30068","32668","32500","31188","32340",
"전국","47세","시도간전입","","29376","30798","33075","33403","32022","32945",
"전국","47세","시도간전출","","29376","30798","33075","33403","32022","32945",
"전국","48세","총전입","","103240","106231","108835","107083","110227","108362",
"전국","48세","총전출","","103240","106231","108835","107083","110227","108362",
"전국","48세","순이동","","0","0","0","0","0","0",
"전국","48세","시군구간전입","","29741","30154","30887","30099","31445","30873",
"전국","48세","시군구간전출","","29741","30154","30887","30099","31445","30873",
"전국","48세","시도간전입","","29163","30422","30859","30658","31758","31107",
"전국","48세","시도간전출","","29163","30422","30859","30658","31758","31107",
"전국","49세","총전입","","93619","104339","106291","100869","102247","109514",
"전국","49세","총전출","","93619","104339","106291","100869","102247","109514",
"전국","49세","순이동","","0","0","0","0","0","0",
"전국","49세","시군구간전입","","27474","29643","30341","28524","29338","31567",
"전국","49세","시군구간전출","","27474","29643","30341","28524","29338","31567",
"전국","49세","시도간전입","","26676","29900","30059","28736","29843","31452",
"전국","49세","시도간전출","","26676","29900","30059","28736","29843","31452",
"전국","50세","총전입","","101020","95398","106507","99134","95357","101655",
"전국","50세","총전출","","101020","95398","106507","99134","95357","101655",
"전국","50세","순이동","","0","0","0","0","0","0",
"전국","50세","시군구간전입","","29380","27544","30145","28010","27343","29482",
"전국","50세","시군구간전출","","29380","27544","30145","28010","27343","29482",
"전국","50세","시도간전입","","28971","27496","30530","28885","27677","29032",
"전국","50세","시도간전출","","28971","27496","30530","28885","27677","29032",
"전국","51세","총전입","","98216","103772","97256","98394","94266","94875",
"전국","51세","총전출","","98216","103772","97256","98394","94266","94875",
"전국","51세","순이동","","0","0","0","0","0","0",
"전국","51세","시군구간전입","","28561","29857","28086","28036","27080","27243",
"전국","51세","시군구간전출","","28561","29857","28086","28036","27080","27243",
"전국","51세","시도간전입","","28548","30536","28191","28708","27424","27237",
"전국","51세","시도간전출","","28548","30536","28191","28708","27424","27237",
"전국","52세","총전입","","105061","100957","106206","90593","92677","93582",
"전국","52세","총전출","","105061","100957","106206","90593","92677","93582",
"전국","52세","순이동","","0","0","0","0","0","0",
"전국","52세","시군구간전입","","30766","29202","30751","26129","26918","26831",
"전국","52세","시군구간전출","","30766","29202","30751","26129","26918","26831",
"전국","52세","시도간전입","","30727","29331","30558","26488","27124","27223",
"전국","52세","시도간전출","","30727","29331","30558","26488","27124","27223",
"전국","53세","총전입","","98305","108418","102426","98686","84983","93184",
"전국","53세","총전출","","98305","108418","102426","98686","84983","93184",
"전국","53세","순이동","","0","0","0","0","0","0",
"전국","53세","시군구간전입","","28477","31293","29759","28510","24829","26959",
"전국","53세","시군구간전출","","28477","31293","29759","28510","24829","26959",
"전국","53세","시도간전입","","29620","32219","29852","29147","25562","27398",
"전국","53세","시도간전출","","29620","32219","29852","29147","25562","27398",
"전국","54세","총전입","","87130","101587","110822","95048","92575","84443",
