"국적별","체류자격별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"스리랑카","주재","여자","","","0","","","","",
"스리랑카","기업투자","계","","2","1","1","","","",
"스리랑카","기업투자","남자","","2","1","1","","","",
"스리랑카","기업투자","여자","","0","0","0","","","",
"스리랑카","무역경영","계","","","1","2","3","","",
"스리랑카","무역경영","남자","","","1","2","3","","",
"스리랑카","무역경영","여자","","","0","0","0","","",
"스리랑카","교수","계","","","1","","","","1",
"스리랑카","교수","남자","","","1","","","","0",
"스리랑카","교수","여자","","","0","","","","1",
"스리랑카","선원","계","","","25","11","","","",
"스리랑카","선원","남자","","","25","11","","","",
"스리랑카","선원","여자","","","0","0","","","",
"스리랑카","연구","계","","2","","","","2","1",
"스리랑카","연구","남자","","1","","","","1","1",
"스리랑카","연구","여자","","1","","","","1","0",
"스리랑카","전문직업","계","","","","1","","","",
"스리랑카","전문직업","남자","","","","1","","","",
"스리랑카","전문직업","여자","","","","0","","","",
"스리랑카","예술흥행","계","","1","","","","1","",
"스리랑카","예술흥행","남자","","1","","","","1","",
"스리랑카","예술흥행","여자","","0","","","","0","",
"스리랑카","특정활동","계","","25","2","9","1","6","5",
"스리랑카","특정활동","남자","","24","2","9","1","6","5",
