"카자흐스탄","여자",1815,52,24,20,214,304,225,209,226,195,125,88,61,37,20,6,9,3498,107,75,50,250,472,554,456,469,404,243,185,105,72,34,10,12,6331,236,157,101,325,774,1005,873,868,737,503,325,231,112,53,18,13,9596,310,252,155,434,1329,1626,1386,1238,1085,746,459,328,141,79,19,9
"러시아","계",5356,385,246,175,279,561,610,631,706,492,272,281,213,155,98,163,89,8471,586,422,256,336,962,1364,1233,1140,769,481,337,248,166,83,37,51,14293,774,634,403,461,1788,2496,2504,1886,1404,828,494,290,161,79,42,49,18615,905,868,581,596,2526,3120,3272,2478,1875,1110,605,350,170,77,42,40
"러시아","남자",2165,178,126,86,100,153,207,250,211,194,137,147,119,71,44,104,38,4118,285,197,129,156,364,708,683,510,348,250,174,136,86,49,20,23,8029,358,321,203,221,890,1488,1636,1087,755,473,276,155,86,39,21,20,10887,463,422,305,272,1304,1896,2237,1569,1082,655,344,179,85,39,22,13
"러시아","여자",3191,207,120,89,179,408,403,381,495,298,135,134,94,84,54,59,51,4353,301,225,127,180,598,656,550,630,421,231,163,112,80,34,17,28,6264,416,313,200,240,898,1008,868,799,649,355,218,135,75,40,21,29,7728,442,446,276,324,1222,1224,1035,909,793,455,261,171,85,38,20,27
"미국","계",55186,2308,3393,2833,2513,4617,7288,6193,3887,3449,3156,3087,3605,3073,2033,1545,2206,51875,1913,3756,2997,2691,3947,6142,5927,4034,3257,3342,2902,3527,3337,1604,938,1561,45032,1146,825,655,824,3341,5633,6137,4574,3500,3739,3227,3803,3657,1745,911,1315,66003,3287,2009,1494,2573,8256,8853,8204,6593,4513,4345,3695,4101,4060,1780,969,1271
"미국","남자",28138,1228,1871,1547,1325,1920,3607,3630,2235,1931,1688,1322,1453,1332,994,841,1214,26174,989,2059,1666,1408,1562,2893,3472,2316,1850,1779,1296,1386,1404,777,485,832,22175,604,453,372,436,1133,2513,3551,2675,1949,2061,1465,1511,1502,819,452,679,36927,1719,1046,764,1612,4973,5098,5116,4132,2675,2480,1832,1759,1735,863,486,637
"미국","여자",27048,1080,1522,1286,1188,2697,3681,2563,1652,1518,1468,1765,2152,1741,1039,704,992,25701,924,1697,1331,1283,2385,3249,2455,1718,1407,1563,1606,2141,1933,827,453,729,22857,542,372,283,388,2208,3120,2586,1899,1551,1678,1762,2292,2155,926,459,636,29076,1568,963,730,961,3283,3755,3088,2461,1838,1865,1863,2342,2325,917,483,634
"캐나다","계",14279,478,441,379,305,1187,2144,1929,1459,1170,1021,1157,1283,707,280,156,183,13737,288,377,331,274,1052,2050,1906,1483,1151,1071,1141,1326,842,222,100,123,13564,171,118,111,164,943,1993,1955,1583,1207,1127,1255,1453,1016,265,109,94,13602,387,171,123,149,816,1791,1858,1636,1150,1172,1213,1502,1133,289,111,101
"캐나다","남자",7184,239,221,207,165,489,1062,1077,870,733,548,405,492,354,157,91,74,6802,157,182,184,146,420,992,1033,874,723,577,425,479,396,109,56,49,6594,88,67,59,101,374,896,1085,889,760,634,448,496,464,135,57,41,6593,198,97,65,89,333,819,995,915,693,668,474,503,498,144,60,42
"캐나다","여자",7095,239,220,172,140,698,1082,852,589,437,473,752,791,353,123,65,109,6935,131,195,147,128,632,1058,873,609,428,494,716,847,446,113,44,74,6970,83,51,52,63,569,1097,870,694,447,493,807,957,552,130,52,53,7009,189,74,58,60,483,972,863,721,457,504,739,999,635,145,51,59
"기타","계",64566,3004,2051,1183,1873,9081,12565,10704,7635,5251,3683,2695,1983,1328,751,325,454,73807,2672,2087,1232,1993,10384,14213,12531,9063,6474,4480,3245,2393,1581,767,297,395,83416,2555,1774,1115,2022,11932,15868,14526,10596,7618,5457,3710,2878,1816,895,307,347,93661,3149,2031,1309,2331,13885,17659,16127,12106,8562,5829,3986,3039,1994,971,360,323
"기타","남자",40297,1533,1062,618,880,4755,8013,7349,5289,3629,2653,1762,1153,735,416,212,238,46081,1344,1096,621,998,5391,9114,8615,6229,4401,3123,2133,1380,851,394,170,221,52062,1288,930,581,1010,6235,10105,10033,7371,5081,3643,2417,1650,930,429,169,190,58273,1570,1050,684,1143,7539,11127,11214,8406,5722,3776,2529,1704,1014,431,193,171
"기타","여자",24269,1471,989,565,993,4326,4552,3355,2346,1622,1030,933,830,593,335,113,216,27726,1328,991,611,995,4993,5099,3916,2834,2073,1357,1112,1013,730,373,127,174,31354,1267,844,534,1012,5697,5763,4493,3225,2537,1814,1293,1228,886,466,138,157,35388,1579,981,625,1188,6346,6532,4913,3700,2840,2053,1457,1335,980,540,167,152
